ID;MODULO;SUBMODULO;CAPACIDAD;LEGACY_EVIDENCE;LEGACY_STATUS;REACT_EVIDENCE;REACT_STATUS;PARITY_STATUS;SEVERITY;NOTES
"DA-02";"DASHBOARD";"Inicio";"Ver KPIs del período";"app.js:4490 renderResumenInicio; erp_inicio_panel_period_";"ACTIVE";"DashboardPage + RPC informe_actividad_comercial";"OK";"PARITY";"";""
"DA-03";"DASHBOARD";"Inicio";"Cambiar el período del panel";"app.js erp_inicio_panel_period_";"ACTIVE";"filtros de Informes";"OK";"PARITY";"";""
"DA-04";"DASHBOARD";"Inicio";"Panel personal por usuario";"app.js:3078 renderInicioPersonal";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"DA-05";"DASHBOARD";"Widgets";"Acomodar widgets arrastrando (gridstack)";"app.js:5127 renderInicioWidgets; GridStack; erp_dash_widget_cfg_";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Personalización de layout. 21 apariciones de gridstack."
"DA-06";"DASHBOARD";"Gráficos";"Gráficos SVG sin dependencias";"app.js:3879 mini-librería de gráficos";"ACTIVE";"modules/informes/components (SerieMensual, etc.)";"OK";"PARITY";"";""
"DA-07";"DASHBOARD";"Ejecutivo";"Panel ejecutivo";"app.js:4214 renderDashboardEjecutivo";"ACTIVE";"DashboardPage + InformesPage";"PARCIAL";"PARTIAL";"LOW";"React lo reparte entre Dashboard e Informes."
"DA-08";"DASHBOARD";"Bandeja";"Bandeja de mensajes en el inicio";"app.js:3510 renderBandejaInicio; erp_bandeja_mensajes";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Depende del chat interno (ver CH-*)."
"DA-09";"DASHBOARD";"Actividad";"Actividad del usuario en el inicio";"app.js:3535 renderInicioActividadUsuario; erp_activity_log";"ACTIVE";"modules/configuracion/pages/AuditoriaPage.tsx";"PARCIAL";"PARTIAL";"LOW";"React lo tiene como auditoría, no en el inicio."
"DA-10";"DASHBOARD";"Solicitudes";"Ver solicitudes web pendientes";"app.js:2960 renderSolicitudesWebSection; erp_client_solicitudes";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Depende del portal del cliente (SH-04)."
"DA-11";"DASHBOARD";"Drill-down";"Abrir el detalle detrás de un KPI";"app.js: las tarjetas navegan a la sección";"ACTIVE";"InformesPage: drill-down exacto verificado en F21 · E3";"OK";"PARITY";"";""
"DA-12";"DASHBOARD";"Estadísticas";"Pantalla de estadísticas (sólo ADMIN)";"app.js:5563 renderEstadisticas; getPermsFor: hardcodeada, invisible para todos menos ADMIN";"CONDITIONAL";"sin equivalente";"NO";"MISSING";"LOW";"El comentario del legacy dice que es inalcanzable salvo para ADMIN."
"DA-13";"DASHBOARD";"Obsoleto";"renderDashboardOLD / renderDashboardOLD_OLD";"app.js:5578 y 5581";"DEAD_CODE";"no aplica";"N/A";"LEGACY_DEAD_CODE";"";"Dos generaciones anteriores del panel, sin referencias desde renderMain."
"CL-01";"CLIENTES";"Listado";"Listar clientes";"app.js:18293 renderClientes";"ACTIVE";"modules/clientes/pages/ClientesPage.tsx";"OK";"PARITY";"";""
"CL-02";"CLIENTES";"Listado";"Buscar cliente";"app.js: filtro de texto sobre el listado";"ACTIVE";"ClientesPage + RPC clientes_similares";"OK";"PARITY";"";""
"CL-03";"CLIENTES";"Listado";"Filtrar por rubro/estado";"app.js data-cl-filter";"ACTIVE";"ClientesPage filtros";"OK";"PARITY";"";""
"CL-04";"CLIENTES";"Listado";"Ordenar por columna";"app.js data-cl-sort";"ACTIVE";"ClientesPage";"OK";"PARITY";"";""
"CL-05";"CLIENTES";"Listado";"Paginar";"app.js data-cl-page";"ACTIVE";"ClientesPage";"OK";"PARITY";"";""
"CL-06";"CLIENTES";"Listado";"Exportar clientes a CSV";"app.js:18475 Blob text/csv → clientes_AAAA-MM-DD.csv";"ACTIVE";"modules/clientes/lib/csv.ts + ClientesPage";"OK";"PARITY";"";""
"CL-07";"CLIENTES";"Alta";"Crear cliente";"app.js menú «Más» del listado";"ACTIVE";"ClienteNuevoPage; RPC crear_cliente";"OK";"PARITY";"";""
"CL-08";"CLIENTES";"Edición";"Editar datos del cliente";"app.js:18677 renderClienteDetalle";"ACTIVE";"ClienteDetallePage; RPC guardar_cliente";"OK";"PARITY";"";""
"CL-09";"CLIENTES";"Detalle";"Ver ficha 360 del cliente";"app.js:18677 renderClienteDetalle; data-cl-tab";"ACTIVE";"ClienteDetallePage; RPC resumen_cliente_360";"OK";"PARITY";"";""
"CL-10";"CLIENTES";"Contactos";"Listar contactos";"app.js:18485 renderContactos; data-ct-open";"ACTIVE";"modules/clientes/components; RPC guardar_contacto";"OK";"PARITY";"";""
"CL-11";"CLIENTES";"Contactos";"Crear y editar contacto";"app.js:18574 renderContactoForm; data-ct-field";"ACTIVE";"RPC guardar_contacto / borrar_contacto";"OK";"PARITY";"";""
"CL-12";"CLIENTES";"Direcciones";"Crear y editar dirección";"app.js data-ciudad / data-provincia";"ACTIVE";"RPC guardar_direccion / borrar_direccion";"OK";"PARITY";"";""
"CL-13";"CLIENTES";"Historial";"Ver documentos comerciales del cliente";"app.js: pestaña del detalle";"ACTIVE";"RPC documentos_del_cliente";"OK";"PARITY";"";""
"CL-14";"CLIENTES";"Historial";"Ver productos que compró";"app.js data-pm-sku";"ACTIVE";"RPC productos_del_cliente";"OK";"PARITY";"";""
"CL-15";"CLIENTES";"Historial";"Ver último precio aplicado al cliente";"app.js: memoria de precios";"ACTIVE";"RPC ultimo_precio_cliente / precios_historicos_cliente";"OK";"PARITY";"";""
"CL-16";"CLIENTES";"Historial";"Totales por moneda";"app.js: resumen del detalle";"ACTIVE";"RPC totales_por_moneda_cliente";"OK";"PARITY";"";""
"CL-17";"CLIENTES";"Memoria";"Memoria de alias: texto de OC → SKU";"app.js:15070 getClienteAliases/setClienteAlias; data-mem-key / data-mem-del";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Es lo que permite que la próxima OC del cliente se matchee sola. Ver LEGACY_ONLY."
"CL-18";"CLIENTES";"Memoria";"Exportar la memoria del cliente a JSON";"app.js:18998 download memoria-<cliente>.json";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Depende de CL-17."
"CL-19";"CLIENTES";"Rubros";"Administrar rubros";"app.js:19035 renderRubrosAdmin";"ACTIVE";"sin equivalente directo";"NO";"MISSING";"MEDIUM";""
"CL-20";"CLIENTES";"Revisión";"Revisar clientes dudosos / duplicados";"no se encontró";"UNREACHABLE";"ClientesRevisarPage; RPC resolver_revision_cliente, grupos_cuit_legacy";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"CL-21";"CLIENTES";"Acciones";"Menú «Más» del cliente";"app.js #cl-mas-btn / data-cl-mas";"ACTIVE";"ClienteDetallePage acciones";"OK";"PARITY";"";""
"CL-22";"CLIENTES";"Adjuntos";"Adjuntar archivos al cliente";"app.js erp_attachments";"ACTIVE";"modules/clientes/services/adjuntos.ts";"OK";"PARITY";"";""
"CA-01";"CATALOGO";"Productos";"Las 57 capacidades auditadas en F22";"app.js:15308 renderCatalogoProductos y siguientes";"ACTIVE";"docs/PHASE_22_PARIDAD_CATALOGO.md";"PARCIAL";"PARTIAL";"HIGH";"F22: PARITY 32 · PARTIAL 5 · MISSING 11 · INT.DIF 9. Ver ese documento; acá se cuentan agrupadas las que faltan."
"CA-02";"CATALOGO";"Productos";"Agregar al carrito desde el listado";"app.js:15308 stepper − n + por fila; #cat-cart-bar / #cat-icart-bar";"ACTIVE";"sin equivalente";"NO";"MISSING";"BLOCKER";"F22 #50. Es el camino por el que nace una cotización en el legacy."
"CA-03";"CATALOGO";"Productos";"Exportar el catálogo a CSV con columnas a elegir";"app.js:16960 modal de exportación, 27 columnas, alcance filtrados/todo";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"F22 #49."
"CA-04";"CATALOGO";"Productos";"Comparar 2 a 4 productos elegidos con checkbox";"app.js:17048 openCatCompare; state.catCompare";"ACTIVE";"ComparadorProductos compara contra similares calculados";"PARCIAL";"PARTIAL";"HIGH";"F22 #42."
"CA-05";"CATALOGO";"Productos";"Ordenar por columna";"app.js data-cat-sort (8 columnas, asc/desc)";"ACTIVE";"el parámetro existe y viaja a search_products; no está expuesto";"PARCIAL";"PARTIAL";"MEDIUM";"F22 #13."
"CA-06";"CATALOGO";"Productos";"Filtrar por stock con operadores (>5, <=2)";"app.js:15920 catalogoFilterSort";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"F22 #11."
"CA-07";"CATALOGO";"Productos";"Crear producto nuevo";"app.js _abrirModalNuevoProducto; RPC erp_create_product";"ACTIVE";"sin equivalente en el catálogo";"NO";"MISSING";"HIGH";"F22 #51. El legacy lo hace con RPC propias (erp_create_product, erp_update_product_full)."
"CA-08";"CATALOGO";"Productos";"Editar producto";"app.js RPC erp_update_product_full / erp_sync_product";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"No está en la matriz de F22 porque F22 auditó el listado; aparece al mirar las RPC."
"CA-09";"CATALOGO";"Precios";"Administrar precios del catálogo";"app.js:13558 renderCatalogoAdminPrecios";"ACTIVE";"modules/configuracion/pages/ListasPreciosPage.tsx";"OK";"PARITY";"";""
"CA-10";"CATALOGO";"Servicios";"Listar servicios del catálogo";"app.js:15608 renderCatalogoServicios";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Submódulo entero. Ver LEGACY_ONLY."
"CA-11";"CATALOGO";"Servicios";"Crear y editar un servicio";"app.js:15755 renderServicioEditor";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"CA-12";"CATALOGO";"Marcas";"Crear y borrar marca";"app.js RPC erp_create_brand / erp_delete_brand";"ACTIVE";"MarcasPage; RPC config_marca_crear/eliminar/estado";"OK";"PARITY";"";""
"CA-13";"CATALOGO";"Categorías";"Crear y borrar categoría";"app.js RPC erp_create_category / erp_delete_category";"ACTIVE";"CategoriasPage; RPC config_categoria_crear/eliminar/renombrar";"OK";"PARITY";"";""
"CA-14";"CATALOGO";"Despiece";"Despiece interactivo de repuestos por posición";"app.js:16045 DESPIECE INTERACTIVO (planos FEIN AccuTec)";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Ver LEGACY_ONLY."
"CA-15";"CATALOGO";"Descripción";"Link de catálogo técnico en la ficha";"app.js:28648 _descSplitLink";"ACTIVE";"modules/catalogo/lib/descripcion.ts (F22 cierre)";"OK";"PARITY";"";"Arreglado en el cierre de F22."
"VE-01";"VENTAS";"Cotizaciones";"Listar cotizaciones";"app.js:19320 renderCotList";"ACTIVE";"modules/ventas/pages/CotizacionesPage.tsx";"OK";"PARITY";"";""
"VE-02";"VENTAS";"Cotizaciones";"Buscar por texto";"app.js #cot-list-search";"ACTIVE";"ListadoDocumentos";"OK";"PARITY";"";""
"VE-03";"VENTAS";"Cotizaciones";"Filtrar por referencia, cliente, título y estado";"app.js #cot-f-ref/#cot-f-cliente/#cot-f-titulo/#cot-f-estado";"ACTIVE";"ListadoDocumentos filtros";"OK";"PARITY";"";""
"VE-04";"VENTAS";"Cotizaciones";"Filtrar por período";"app.js #cot-period-btn / data-cot-period";"ACTIVE";"filtros de listado";"OK";"PARITY";"";""
"VE-05";"VENTAS";"Cotizaciones";"Ordenar por columna";"app.js data-cot-sort";"ACTIVE";"ListadoDocumentos";"OK";"PARITY";"";""
"VE-06";"VENTAS";"Cotizaciones";"Paginar y elegir tamaño de página";"app.js #cot-page-size/#cot-prev-page/#cot-next-page";"ACTIVE";"Pagination";"OK";"PARITY";"";""
"VE-07";"VENTAS";"Cotizaciones";"Seleccionar varias con checkbox";"app.js #cot-check-all";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Habilita las acciones en lote del menú «Más»."
"VE-08";"VENTAS";"Cotizaciones";"Exportar el listado a CSV";"app.js:19585 cotizaciones-AAAA-MM-DD.csv";"ACTIVE";"modules/ventas/lib/csv.ts + ListadoPage";"OK";"PARITY";"";""
"VE-09";"VENTAS";"Cotizaciones";"Crear cotización";"app.js #cot-list-new";"ACTIVE";"CotizacionNuevaPage; RPC crear_cotizacion";"OK";"PARITY";"";""
"VE-10";"VENTAS";"Cotizaciones";"Editar y guardar";"app.js:20119 renderCotEditor; #cot-save";"ACTIVE";"CotizacionDetallePage; RPC guardar_cotizacion";"OK";"PARITY";"";""
"VE-11";"VENTAS";"Cotizaciones";"Duplicar";"app.js menú «Más»";"ACTIVE";"AccionesDocumento; services/acciones.ts duplicarDocumento";"OK";"PARITY";"";""
"VE-12";"VENTAS";"Cotizaciones";"Anular / eliminar";"app.js menú «Más»";"ACTIVE";"AccionesDocumento cancelar/borrar + triggers de la base";"OK";"PARITY";"";""
"VE-13";"VENTAS";"Cotizaciones";"Imprimir";"app.js #cot-print-btn / data-cot-print; window.print en iframe";"ACTIVE";"ModalImpresion + VistaImpresion (motor A4)";"OK";"PARITY";"";""
"VE-14";"VENTAS";"Cotizaciones";"Descargar PDF";"app.js:25891 html2pdf().save()";"ACTIVE";"imprimir → guardar como PDF";"PARCIAL";"PARTIAL";"MEDIUM";"React no genera el archivo: depende del diálogo del navegador."
"VE-15";"VENTAS";"Cotizaciones";"Enviar el documento por mail";"app.js:37282 ENVIAR DOCUMENTO POR MAIL (mailto:); data-doc-enviar";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Existe en cotización, pedido, nota de entrega, factura y pedido de compra."
"VE-16";"VENTAS";"Cotizaciones";"Vista previa en vivo, al lado del editor";"app.js #cot-live-preview-panel, #cot-pv-resizer, zoom ±, reset";"ACTIVE";"VistaPreviaBorrador.module.css";"PARCIAL";"PARTIAL";"MEDIUM";"React tiene vista previa; el legacy la tiene al lado, redimensionable y con zoom."
"VE-17";"VENTAS";"Cotizaciones";"Editar el documento desde la vista previa";"app.js data-pv-field / data-pv-idx";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"VE-18";"VENTAS";"Líneas";"Agregar producto buscándolo";"app.js #cot-add-product; renderAddProdResults:21908";"ACTIVE";"services/productosParaLinea.ts; RPC search_products";"OK";"PARITY";"";""
"VE-19";"VENTAS";"Líneas";"Agregar línea libre (sin producto)";"app.js #cot-new-line";"ACTIVE";"EditorLineas";"OK";"PARITY";"";""
"VE-20";"VENTAS";"Líneas";"Agregar capítulo";"app.js #cot-new-chapter; data-cot-chapter-title/desc";"ACTIVE";"EditorLineas / TablaLineas";"OK";"PARITY";"";""
"VE-21";"VENTAS";"Líneas";"Editar cantidad, precio, descuento, descripción, SKU, IVA";"app.js data-cot-qty/price/dto/desc/sku/iva";"ACTIVE";"TablaLineas + CeldaEditable";"OK";"PARITY";"";""
"VE-22";"VENTAS";"Líneas";"Reordenar con las flechas";"app.js data-cot-line-up / data-cot-line-down";"ACTIVE";"line_no existe como dato; sin control de reordenar";"NO";"MISSING";"MEDIUM";""
"VE-23";"VENTAS";"Líneas";"Reordenar arrastrando";"app.js data-cot-drag";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"VE-24";"VENTAS";"Líneas";"Borrar línea";"app.js data-cot-del";"ACTIVE";"TablaLineas";"OK";"PARITY";"";""
"VE-25";"VENTAS";"Líneas";"Abrir el catálogo desde la línea";"app.js data-cot-open-cat";"ACTIVE";"buscador de productos en la línea";"OK";"PARITY";"";""
"VE-26";"VENTAS";"Líneas";"Reemplazar el capítulo de una línea";"app.js data-cot-replace-ch";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"VE-27";"VENTAS";"Cabecera";"Elegir cliente con autocompletado";"app.js #cot-cliente / #cot-cli-drop";"ACTIVE";"EditorCabecera; RPC clientes_similares";"OK";"PARITY";"";""
"VE-28";"VENTAS";"Cabecera";"Crear cliente sin salir del documento";"app.js #cot-cli-nuevo";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"VE-29";"VENTAS";"Cabecera";"Elegir y crear contacto sin salir";"app.js #cot-contacto-add / #cot-contacto-nuevo";"ACTIVE";"EditorCabecera elige contacto; no lo crea";"PARCIAL";"PARTIAL";"MEDIUM";""
"VE-30";"VENTAS";"Cabecera";"Condición de pago, IVA, IIBB, fecha, título";"app.js #cot-pago/#cot-iva/#cot-iibb/#cot-fecha/#cot-titulo";"ACTIVE";"EditorCabecera";"OK";"PARITY";"";""
"VE-31";"VENTAS";"Cabecera";"Descuento global";"app.js #cot-dto-global";"ACTIVE";"lib/totales.ts descuentoGlobal";"OK";"PARITY";"";""
"VE-32";"VENTAS";"Cabecera";"Moneda del documento";"app.js #cot-moneda";"ACTIVE";"EditorCabecera";"OK";"PARITY";"";""
"VE-33";"VENTAS";"Documento";"Pestañas del documento";"app.js data-cot-tab";"ACTIVE";"DocumentTabs: Líneas, Relacionados, Adjuntos, Trazabilidad";"OK";"PARITY";"";""
"VE-34";"VENTAS";"Documento";"Adjuntar archivos";"app.js:24728 ADJUNTOS; data-adj-row/download/delete";"ACTIVE";"PanelAdjuntos + services/adjuntos.ts";"OK";"PARITY";"";""
"VE-35";"VENTAS";"Documento";"Registro de cambios del documento";"app.js:24368 AUDIT LOG por documento; renderActivityLog:24425";"ACTIVE";"pestaña Trazabilidad";"OK";"PARITY";"";""
"VE-36";"VENTAS";"Documento";"Campos extra estilo StelOrder («Más información»)";"app.js:24554 renderMasInfoUI:24638; data-mas-action/sku/idx";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"VE-37";"VENTAS";"Documento";"Ver documentos relacionados y su CSV";"app.js:24884 renderRelacionadosTable; data-rel-type/ref; CSV en :25016";"ACTIVE";"PanelRelacionados";"PARCIAL";"PARTIAL";"LOW";"React muestra los relacionados; no los exporta."
"VE-38";"VENTAS";"Flujo";"Convertir cotización en pedido";"app.js data-pipeline-generate; #cot-generate-next-btn";"ACTIVE";"RPC convertir_cotizacion_en_pedido (+ _en_serie)";"OK";"PARITY";"";""
"VE-39";"VENTAS";"Flujo";"Saltar al pedido derivado";"app.js #cot-goto-derived-ped";"ACTIVE";"PanelRelacionados";"OK";"PARITY";"";""
"VE-40";"VENTAS";"Flujo";"Ver el embudo y navegarlo";"app.js data-pipeline-nav / data-pipeline-ref";"ACTIVE";"RPC informe_pipeline_comercial (en Informes)";"PARCIAL";"PARTIAL";"LOW";"React lo tiene como informe, no como navegador dentro de Ventas."
"VE-41";"VENTAS";"Pedidos";"Listar, buscar, filtrar, ordenar, paginar";"app.js:22743 renderPedidos; data-ped-*";"ACTIVE";"PedidosPage";"OK";"PARITY";"";""
"VE-42";"VENTAS";"Pedidos";"Editar el pedido";"app.js:23103 renderPedidoEditor";"ACTIVE";"PedidoDetallePage; RPC guardar_pedido";"OK";"PARITY";"";""
"VE-43";"VENTAS";"Pedidos";"Confirmar stock del pedido";"app.js #ped-confirm-stock";"ACTIVE";"PanelPendientes / flujo de entrega";"OK";"PARITY";"";""
"VE-44";"VENTAS";"Pedidos";"Generar remito desde el pedido";"app.js #ped-to-ne";"ACTIVE";"RPC crear_remito_desde_pedido";"OK";"PARITY";"";""
"VE-45";"VENTAS";"Pedidos";"Cambiar el estado del pedido a mano";"app.js #ped-estado";"ACTIVE";"estados derivados del flujo, no editables sueltos";"NO";"INTENTIONALLY_DIFFERENT";"";"React no deja poner un estado a mano: lo decide el flujo."
"VE-46";"VENTAS";"Remitos";"Listar, buscar, filtrar, ordenar, paginar";"app.js:22275 renderNotasEntrega; data-ne-*";"ACTIVE";"EntregasPage";"OK";"PARITY";"";""
"VE-47";"VENTAS";"Remitos";"Editar el remito";"app.js:23628 renderNotaEntregaEditor";"ACTIVE";"EntregaDetallePage; RPC guardar_remito";"OK";"PARITY";"";""
"VE-48";"VENTAS";"Remitos";"Entrega parcial: elegir cuánto de cada línea";"app.js #ne-parcial-modal; data-ne-qty; #ne-parc-all/clear/cancel/ok";"ACTIVE";"ModalEntregaParcial";"OK";"PARITY";"";""
"VE-49";"VENTAS";"Remitos";"Confirmar el remito y mover stock";"app.js #ne-confirm-stock";"ACTIVE";"RPC confirmar_entrega";"OK";"PARITY";"";""
"VE-50";"VENTAS";"Remitos";"Generar factura desde el remito";"app.js #ne-gen-factura";"ACTIVE";"sin equivalente: no hay facturación en React";"NO";"MISSING";"BLOCKER";"Ver el módulo FACTURACION."
"VE-51";"VENTAS";"Importar";"Importar una OC del cliente desde PDF";"app.js:38347 OC Import — parser de PDF inline; #oc-ok-btn/#oc-retry-btn/#oc-create-prod-btn";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Lee el PDF, propone líneas y permite crear el producto faltante. Ver LEGACY_ONLY."
"VE-52";"VENTAS";"Series";"Elegir la serie del documento";"app.js: numeración por serie";"ACTIVE";"RPC series_de_documento, next_document_number, autoridad_numeracion_*";"OK";"PARITY";"";""
"VE-53";"VENTAS";"Acciones";"Menú «Más» del listado (acciones en lote)";"app.js #cot-list-mas-btn / data-cot-list-mas";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Depende de VE-07."
"VE-54";"VENTAS";"Acciones";"Menú «Más» del documento";"app.js #cot-mas-btn / data-cot-mas";"ACTIVE";"AccionesDocumento";"OK";"PARITY";"";""
"VE-55";"VENTAS";"Descartadas";"Marcar una cotización como descartada";"app.js erp_cot_descartadas";"ACTIVE";"cancelarDocumento";"OK";"PARITY";"";""
"CO-01";"COMPRAS";"Proveedores";"Listar y buscar proveedores";"app.js:31853 renderProveedoresList; data-prov-open";"ACTIVE";"modules/compras/pages/ProveedoresPage.tsx";"OK";"PARITY";"";""
"CO-02";"COMPRAS";"Proveedores";"Crear y editar proveedor";"app.js:31969 renderProveedorModal";"ACTIVE";"ProveedorNuevaPage / ProveedorDetallePage";"OK";"PARITY";"";""
"CO-03";"COMPRAS";"Proveedores";"Exportar proveedores";"app.js #prov-mas-list-btn";"ACTIVE";"ProveedoresPage CSV";"OK";"PARITY";"";""
"CO-04";"COMPRAS";"Pedidos";"Listar, buscar, ordenar";"app.js:32094 renderPedidosCompraList; data-pc-sort";"ACTIVE";"compras/pages/PedidosPage.tsx";"OK";"PARITY";"";""
"CO-05";"COMPRAS";"Pedidos";"Crear y editar pedido de compra";"app.js:32418 renderPedidoCompraEditor";"ACTIVE";"PedidoNuevoPage / PedidoDetallePage";"OK";"PARITY";"";""
"CO-06";"COMPRAS";"Pedidos";"Líneas: SKU, descripción, cantidad, precio, descuento";"app.js data-pc-sku/nombre/desc/qty/price/dto";"ACTIVE";"compras/components";"OK";"PARITY";"";""
"CO-07";"COMPRAS";"Pedidos";"Capítulos en el pedido de compra";"app.js data-pc-chapter";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
